年,CPI
2001,0.725
2002,-0.7666666666666666
2003,1.1666666666666667
2004,3.9
2005,1.8166666666666667
2006,1.4666666666666668
2007,4.766666666666667
2008,5.8999999999999995
2009,-0.6833333333333332
2010,3.3249999999999997
2011,5.408333333333334
2012,2.65
2013,2.6239666666666666
2014,1.9905333333333333
2015,1.4377333333333333
2016,2.008135
2017,1.5540879166666668
2018,2.125
2019,2.9
2020,2.5083333333333333
2021,0.9166666666666666
